,File Format,File Size,Duration,Overall bitrate
ffprobe (2.3.2),QuickTime / MOV,47547022,33.099000,11492074
Media Info (0.7.69),MPEG-4,47547022,33099,11492075
ExifTool (9.69),MP4,47508770,0:00:33,11.5 Mbps

Video track 1,Video Codec,Codec Profile,Display Aspect Ratio,Width,Height,Frame Rate,Chroma Subsampling,Bit Depth,Colorspace,Pixel format
ffprobe (2.3.2),h264,Main,16:9,1920,1080,60000/1001,N/A,N/A,N/A,yuv420p
Media Info (0.7.69),AVC,Main@L3.1,16:9,1920,1080,59.940,4:2:0,8,YUV,N/A
ExifTool (9.69),avc1,N/A,N/A,1920,1080,59.94,N/A,24,N/A,N/A

Audio track 1,Audio Codec,Sampling rate,Bit Depth,Number of Channels
ffprobe (2.3.2),aac,48000,0,6
Media Info (0.7.69),AAC LC,48000,N/A,2
ExifTool (9.69),mp4a,48000,16,2

